"key","fr_FR","nl_NL","it_IT","de_DE","nl_BE","es_ES"
"forms > forms.productreview.author","Votre nom","Naam","Il tuo nome","Name","Naam",
"forms > forms.productreview.author.missing-error","Veuillez entrer un nom.","Vul aub een naam in.","Inserisci un nome",,,
"forms > forms.productreview.comment","Votre avis","Je ervaring","La tua recensione","Kommentar","Je ervaring",
"forms > forms.productreview.comment.missing-error","Veuillez entrer un avis.","Vul aub je mening in.","Scrivi la tua recensione","Ihre Meinung",,
"forms > forms.productreview.email","Votre E-mail","E-mail","La tua email",,"E-mail",
"forms > forms.productreview.email.missing-error","Veuillez entrer un email.","Vul aub je e-mailadres in.","Inserisci la tua mail","Ihre Email-Adresse",,
"forms > forms.productreview.rating","Votre note","Aantal sterren","La tua valutazione","Ihre Bewertung","Aantal sterren",
"forms > forms.productreview.rating.yourreview","Votre note","Aantal sterren","La tua valutazione","Ihre Bewertung","Aantal sterren",
"forms > address.postalcode.example","Exemple : 12345","Voorbeeld: 1234 AB",,,,
"forms > billing.email","E-mail","E-mailadres",,,"E-mailadres",
"forms > checkout.addtoaddressbook","Ajouter au carnet d'adresses","Aan adresboek toevoegen",,,"Aan adresboek toevoegen",
"forms > checkout.addtoemaillist","Je souhaite être ajouté à la liste de diffusion de Babyliss Paris. Babyliss Paris ne communique ni ne vend les informations personnelles.","Meld je aan en lees als eerste over de nieuwste producten",,,"Meld je aan en lees als eerste over de nieuwste producten",
"forms > checkout.addtoemaillistParis","BaByliss Paris","BaByliss",,,"BaByliss",
"forms > checkout.shipment.no","Non","Nee",,,"Nee",
"forms > checkout.shipment.yes","Oui","Ja",,,"Ja",
"forms > checkout.useasbillingaddress","Utiliser cette adresse pour la facturation","Gebruik deze gegevens ook voor mijn factuur",,,"Gebruik deze gegevens de factuur",
"forms > confirm.delete","Voulez-vous supprimer cette {0} ?","Wilt u deze {0} verwijderen?",,,"Wilt u deze {0} verwijderen?",
"forms > contactus.ambassador.submit","Sign Up!","> Meld je aan!",,,"Sign Up!",
"forms > contactus.ambassador.undertitle","Remplissez le formulaire ci-dessous pour participer","Vul het onderstaande formulier in om deel te nemen",,,"Vul het onderstaande formulier in om deel te nemen",
"forms > contactus.city","Ville","Plaats",,"Ort","Stad","Localidad:"
"forms > country.luxembourg","Luxembourg","Luxemburg",,,"Luxemburg",
"forms > country.netherlands","Netherlands","Nederland",,,"Nederland",
"forms > country.nl","Netherlands","Nederland",,,"Nederland",
"forms > creditcard.cvnlabel","Code de sécurité","Veiligheidscode",,,"Veiligheidscode",
"forms > creditcard.cvnmissingerror","Veuillez saisir votre code de sécurité","Vul uw veiligheidscode in",,,"Vul uw veiligheidscode in",
"forms > creditcard.cvnrangeerror","Code de sécurité non valide","Ongeldige veiligheidscode",,,"Ongeldige veiligheidscode",
"forms > creditcard.monthmissingerror","Veuillez sélectionner un mois d'expiration","Selecteer vervaldatum - maand",,,"Selecteer vervaldatum - maand",
"forms > creditcard.numberexample","Exemple : 4111111111111111","Voorbeeld: 4111111111111111",,,"Voorbeeld: 4111111111111111",
"forms > creditcard.numbermissingerror","Veuillez saisir le numéro tel qu'il figure sur votre carte","Vul het nummer in dat op uw kaart vermeld staat",,,"Vul het nummer in dat op uw kaart vermeld staat",
"forms > creditcard.numberrangeerror","Le numéro doit avoir 13 ou 16 chiffres","Het nummer moet uit 13 of 16 cijfers bestaan.",,,"Het nummer moet uit 13 of 16 cijfers bestaan.",
"forms > creditcard.numbervalueerror","Numéro de carte de crédit non valide","Ongeldig creditcardnummer",,,"Ongeldig creditcardnummer",
"forms > creditcard.ownerlabel","Titulaire de la carte","Naam kaarthouder",,,"Naam kaarthouder",
"forms > creditcard.savecard","Enregistrer cette carte","Deze kaart registreren",,,"Deze kaart registreren",
"forms > creditcard.type","Type","Soort",,,"Soort",
"forms > creditcard.typemissing","Sélectionnez une carte","Selecteer een kaart",,,"Selecteer een kaart",
"forms > creditcard.yearmissingerror","Veuillez sélectionner une année d'expiration","Selecteer vervaldatum - jaar",,,"Selecteer vervaldatum - jaar",
"forms > creditcard.yearvalueerror","Cette carte de crédit est expirée","Deze creditcard is verlopen.",,,"Deze creditcard is verlopen.",
"forms > giftcert.purchase.from.label","Votre nom","Je naam",,"Ihr Name","Je naam","Tus apellidos"
"forms > global.createnowbutton","créer un compte","Account aanmaken",,,"Account aanmaken",
"forms > label.newpassword","Nouveau mot de passe","Nieuw wachtwoord",,,"Nieuw wachtwoord",
"forms > label.password","Mot de passe","Wachtwoord",,,"Wachtwoord",
"forms > label.username","Adresse e-mail","E-mailadres",,,"E-mailadres",
"forms > login.rememberme","Se souvenir de moi","Ingelogd blijven",,,"Ingelogd blijven",
"forms > ordertrack.orderEmail","E-mail de la commande","Bestel-e-mail",,,"Bestel-e-mail",
"forms > ordertrack.orderEmail.missing-error","Saisissez l'adresse e-mail utilisée pour cette commande.","Vul het voor deze bestelling gebruikte e-mailadres in.",,,"Vul het voor deze bestelling gebruikte e-mailadres in.",
"forms > ordertrack.orderNumber","Numéro de commande","Bestelnummer",,,"Bestelnummer",
"forms > ordertrack.orderNumber.missing-error","Saisissez un numéro de commande.","Vul een bestelnummer in.",,,"Vul een bestelnummer in.",
"forms > ordertrack.postalCode","Code postal de facturation","Postcode voor facturering",,,"Postcode voor facturering",
"forms > profile.confirmemail","Confirmer l'e-mail","Bevestig e-mailadres",,,"Bevestig e-mailadres",
"forms > profile.dob","Date de naissance","Geboortedatum",,"Geburtstag","Geboortedatum","Fecha de nacimiento"
"forms > profile.email","E-mail","E-mailadres
",,"E-Mail","E-mail","E-mail"
"forms > profile.firstname","Prénom","Voornaam",,"Vorname","Voornaam","Nombre"
"forms > profile.lastname","Nom","Achternaam",,"Name:","Naam","Apellidos"
"forms > profile.newpasswordconfirm","Confirmer le nouveau mot de passe","Bevestig wachtwoord",,,"Bevestig wachtwoord",
"forms > profile.passwordconfirm","Confirmer le mot de passe","Bevestig wachtwoord",,,"Bevestig wachtwoord",
"forms > profile.passwordnomatch","Ne correspond pas au mot de passe","Wachtwoord is niet correct",,,"Wachtwoord is niet correct",
"forms > profile.phone","Téléphone","Telefoonnummer",,"Telefon","Telefoonnummer","Teléfono"
"forms > promotions.address","Adresse","Adres",,"Adresse","Adres","Dirección"
"forms > promotions.civility","CivilitÃ©","Geslacht",,"Anrede","Aanspreking","Tratamiento"
"forms > promotions.contact","Vos données","Jouw gegevens",,"Kontaktdetails","Uw gegevens","Tus datos"
